photoId,nsid,posted,photoUrl,nComments,nTags,nViews,nPhotos,nFollowers,nFollows,nGroups,nAlbums,camera,nFaves
31247129284,146640824@N03,1483490378,https://www.flickr.com/photos/146640824@N03/31247129284/,0,0,9,19,3,25,0,1,Panasonic,0
31247129514,91827759@N03,1483490178,https://www.flickr.com/photos/91827759@N03/31247129514/,0,0,11,418,6,9,0,1,Canon,0
31247131624,98356291@N04,1483490385,https://www.flickr.com/photos/98356291@N04/31247131624/,0,0,3,2064,2,3,0,1,Fujifilm,0
31247135734,53254466@N00,1483490397,https://www.flickr.com/photos/eddie_smith/31247135734/,6,0,181,7642,455,626,1,5,Fujifilm,10
31247306254,125368878@N02,1483490989,https://www.flickr.com/photos/masmn/31247306254/,0,0,2,12940,8,0,0,0,Apple,0
31247307214,80727398@N00,1483490995,https://www.flickr.com/photos/schmoop/31247307214/,0,0,1,1927,50,34,0,0,Apple,0
31247307374,146787145@N04,1483490997,https://www.flickr.com/photos/146787145@N04/31247307374/,0,0,0,605,4,5,0,1,Unknown,0
31247462504,28365056@N04,1483491522,https://www.flickr.com/photos/prophdng/31247462504/,0,0,1,12234,1,0,0,1,Apple,0
31247463414,150559596@N05,1483491572,https://www.flickr.com/photos/150559596@N05/31247463414/,0,1,0,51,0,1,0,0,Unknown,0
31247464614,148939925@N05,1483491578,https://www.flickr.com/photos/brainelacrosse/31247464614/,0,0,52,10119,3,23,0,1,Sony,0
31247470054,25458010@N06,1483491593,https://www.flickr.com/photos/25458010@N06/31247470054/,0,1,1,251,14,37,0,0,Nikon,0
31247473614,22760365@N03,1483491599,https://www.flickr.com/photos/22760365@N03/31247473614/,1,2,83,4263,441,382,0,2,Nikon,8
31247772284,142115315@N08,1483492776,https://www.flickr.com/photos/franchico/31247772284/,0,0,100,174,41,7,4,1,Nikon,3
31247774254,74688308@N04,1483492794,https://www.flickr.com/photos/74688308@N04/31247774254/,0,0,2,588,0,0,0,0,Unknown,0
31247774354,7619884@N06,1483492786,https://www.flickr.com/photos/9suke/31247774354/,0,1,2,45129,23,2,0,0,Fujifilm,0
31249243224,86688948@N07,1483498795,https://www.flickr.com/photos/86688948@N07/31249243224/,0,0,43,7485,6,11,0,1,Nikon,0
31249243234,145516843@N05,1483498795,https://www.flickr.com/photos/145516843@N05/31249243234/,0,0,0,318,0,1,0,2,Apple,0
31249243434,146442792@N04,1483498796,https://www.flickr.com/photos/146442792@N04/31249243434/,0,0,1,60,0,1,0,0,Unknown,0
31249244804,26976735@N05,1483498799,https://www.flickr.com/photos/huylam81/31249244804/,0,0,1418,3577,3900,633,0,1,Unknown,6
31250010764,127012284@N06,1483501788,https://www.flickr.com/photos/127012284@N06/31250010764/,0,0,20,149,6,5,0,0,Unknown,0
